brian,BPName,Account#,Contract#,ContractStartDt,ContractEndDt,Rate,Premise#,PremiseAddress,UsageMonth,Invoice#,Bill#,BillPeriodStartDate,BillPeriodEndDate,BillPeriodDays,BillAmount,kWhQty,BilledkW,ActualkW,BLC,Meter#
10255635,BOISE STATE UNIVERSITY,2223505682,32585952,11/23/2017,NULL,I01,60238159,1307 S CHRISWAY DR 111 /BOISE ID 83706-4258,202201,6190397986,1529262031,12/24/2021,1/24/2022,32,30.01,262,NULL,5,NULL,75359958
10255635,BOISE STATE UNIVERSITY,2223505682,32585682,11/23/2017,NULL,I01,60016081,1305 S CHRISWAY DR 207 /BOISE ID 83706-4266,202201,6190397986,1084747402,12/24/2021,1/24/2022,32,28.22,243,NULL,6,NULL,75359959
10255635,BOISE STATE UNIVERSITY,2223505682,32585903,11/23/2017,NULL,I01,60370967,1305 S CHRISWAY DR 111 /BOISE ID 83706-4266,202201,6190397986,1145914945,12/24/2021,1/24/2022,32,43.93,409,NULL,5,NULL,75359960
10255635,BOISE STATE UNIVERSITY,2223505682,32585981,11/23/2017,NULL,I01,60205028,1305 S CHRISWAY DR 307 /BOISE ID 83706-4266,202201,6190397986,1161182573,12/24/2021,1/24/2022,32,26.42,224,NULL,5,NULL,75359961
10255635,BOISE STATE UNIVERSITY,2223505682,32585963,11/23/2017,NULL,I01,60381018,1305 S CHRISWAY DR 202 /BOISE ID 83706-4266,202201,6190397986,1590775158,12/24/2021,1/24/2022,32,35.42,319,NULL,5,NULL,75359962
10255635,BOISE STATE UNIVERSITY,2223505682,32585917,11/23/2017,NULL,I01,60423875,1303 S CHRISWAY DR 410 /BOISE ID 83706-4270,202201,6190397986,1176473211,12/24/2021,1/24/2022,32,26.33,223,NULL,3,NULL,75359963
10255635,BOISE STATE UNIVERSITY,2223505682,32585989,11/23/2017,NULL,I01,60418428,1303 S CHRISWAY DR 217 /BOISE ID 83706-4270,202201,6190397986,1590775347,12/24/2021,1/24/2022,32,40.06,368,NULL,6,NULL,75359964
10255635,BOISE STATE UNIVERSITY,2223505682,32585932,11/23/2017,NULL,I01,60089732,1303 S CHRISWAY DR 316 /BOISE ID 83706-4270,202201,6190397986,1191740000,12/24/2021,1/24/2022,32,29.16,253,NULL,5,NULL,75359965
10255635,BOISE STATE UNIVERSITY,2223505682,32585678,11/23/2017,NULL,I01,60427717,1303 S CHRISWAY DR 110 /BOISE ID 83706-4270,202201,6190397986,1559845526,12/24/2021,1/24/2022,32,35.03,315,NULL,6,NULL,75359966
10255635,BOISE STATE UNIVERSITY,2223505682,32585972,11/23/2017,NULL,I01,60343934,1305 S CHRISWAY DR 117 /BOISE ID 83706-4266,202201,6190397986,1468089899,12/24/2021,1/24/2022,32,25.1,210,NULL,4,NULL,75359967
10255635,BOISE STATE UNIVERSITY,2223505682,32585969,11/23/2017,NULL,I01,60316274,1305 S CHRISWAY DR 115 /BOISE ID 83706-4266,202201,6190397986,1513962226,12/24/2021,1/24/2022,32,29.16,253,NULL,6,NULL,75359968
10255635,BOISE STATE UNIVERSITY,2223505682,32585961,11/23/2017,NULL,I01,60351987,1305 S CHRISWAY DR 209 /BOISE ID 83706-4266,202201,6190397986,1590775052,12/24/2021,1/24/2022,32,36.44,330,NULL,9,NULL,75359969
10255635,BOISE STATE UNIVERSITY,2223505682,32585991,11/23/2017,NULL,I01,60146029,1305 S CHRISWAY DR 309 /BOISE ID 83706-4266,202201,6190397986,1161182568,12/24/2021,1/24/2022,32,32.48,288,NULL,7,NULL,75359970
10255635,BOISE STATE UNIVERSITY,2223504115,32582128,10/25/2017,NULL,I01,60386017,1309 S CHRISWAY DR 302 /BOISE ID 83706-4187,202201,6067860335,1559845226,12/24/2021,1/24/2022,32,40.06,368,NULL,4,NULL,75359971
10255635,BOISE STATE UNIVERSITY,2223504115,32582179,10/25/2017,NULL,I01,60103317,1309 S CHRISWAY DR 308 /BOISE ID 83706-4187,202201,6067860335,1483384654,12/24/2021,1/24/2022,32,38.34,350,NULL,5,NULL,75359972
10255635,BOISE STATE UNIVERSITY,2223504115,32582171,10/25/2017,NULL,I01,60120678,1309 S CHRISWAY DR 208 /BOISE ID 83706-4187,202201,6067860335,1145914983,12/24/2021,1/24/2022,32,48.08,453,NULL,4,NULL,75359973
10255635,BOISE STATE UNIVERSITY,2223504115,32582136,10/25/2017,NULL,I01,60341838,1309 S CHRISWAY DR 202 /BOISE ID 83706-4187,202201,6067860335,1498668932,12/24/2021,1/24/2022,32,38.91,356,NULL,3,NULL,75359974
10255635,BOISE STATE UNIVERSITY,2223505682,32585935,11/23/2017,NULL,I01,60304127,1303 S CHRISWAY DR 104 /BOISE ID 83706-4270,202201,6190397986,1559845460,12/24/2021,1/24/2022,32,26.99,230,NULL,6,NULL,75359975
10255635,BOISE STATE UNIVERSITY,2223505682,32585681,11/23/2017,NULL,I01,60238668,1303 S CHRISWAY DR 404 /BOISE ID 83706-4270,202201,6190397986,1115343136,12/24/2021,1/24/2022,32,20.94,166,NULL,5,NULL,75359976
10255635,BOISE STATE UNIVERSITY,2223505682,32585905,11/23/2017,NULL,I01,60397363,1303 S CHRISWAY DR 211 /BOISE ID 83706-4270,202201,6190397986,1084747256,12/24/2021,1/24/2022,32,33.23,296,NULL,6,NULL,75359977
